z_m,u_m_s,v_m_s,w_upper_m_s,scalar,u_rms_m_s,v_rms_m_s,w_upper_rms_m_s,scalar_rms
450,8.77771301277523,0,0,0,0.1,0.1,0.09831054874312163,0
454,8.783023900391305,0,0,0,0.1,0.1,0.09852776423889413,0
458,8.788288200673799,0,0,0,0.1,0.1,0.09873014181578585,0
462,8.793506723852666,0,0,0,0.1,0.1,0.0989176509964781,0
466,8.798680259203103,0,0,0,0.1,0.1,0.099090263542778,0
470,8.803809575761985,0,0,0,0.1,0.1,0.099247953459871,0
474,8.808895423013928,0,0,0,0.1,0.1,0.09939069700023562,0
478,8.813938531548526,0,0,0,0.1,0.1,0.09951847266721969,0
482,8.818939613690208,0,0,0,0.1,0.1,0.09963126121827781,0
486,8.823899364102056,0,0,0,0.1,0.1,0.09972904566786903,0
490,8.82881846036489,0,0,0,0.1,0.1,0.09981181129001493,0
494,8.833697563532793,0,0,0,0.1,0.1,0.09987954562051725,0
498,8.838537318666258,0,0,0,0.1,0.1,0.09993223845883496,0
502,8.843338355343992,0,0,0,0.1,0.1,0.09996988186962043,0
506,8.848101288154414,0,0,0,0.1,0.1,0.09999247018391445,0
510,8.852826717167801,0,0,0,0.1,0.1,0.1,0
514,8.857515228389993,0,0,0,0.1,0.1,0.09999247018391445,0
518,8.862167394198513,0,0,0,0.1,0.1,0.09996988186962043,0
522,8.866783773761908,0,0,0,0.1,0.1,0.09993223845883496,0
526,8.871364913443086,0,0,0,0.1,0.1,0.09987954562051725,0
530,8.875911347187378,0,0,0,0.1,0.1,0.09981181129001493,0
534,8.880423596896,0,0,0,0.1,0.1,0.09972904566786903,0
538,8.8849021727856,0,0,0,0.1,0.1,0.09963126121827781,0
542,8.889347573734463,0,0,0,0.1,0.1,0.09951847266721969,0
546,8.893760287616013,0,0,0,0.1,0.1,0.09939069700023562,0
550,8.898140791620111,0,0,0,0.1,0.1,0.099247953459871,0
554,8.902489552562754,0,0,0,0.1,0.1,0.099090263542778,0
558,8.90680702718459,0,0,0,0.1,0.1,0.0989176509964781,0
562,8.911093662438798,0,0,0,0.1,0.1,0.09873014181578585,0
566,8.915349895768761,0,0,0,0.1,0.1,0.09852776423889413,0
570,8.91957615537594,0,0,0,0.1,0.1,0.09831054874312163,0
