[compile] four-rank GABLS1 y-slab ready in 13.045s
step=11600 time=2.5671/9h CFL=0.7000 CFLnu=0.0512 divL2=1.643e-04 Q0=-5.453e-03 theta_budget=3.694e-08
step=11700 time=2.5880/9h CFL=0.7000 CFLnu=0.0511 divL2=1.678e-04 Q0=-5.375e-03 theta_budget=1.462e-08
step=11800 time=2.6090/9h CFL=0.7000 CFLnu=0.0534 divL2=1.686e-04 Q0=-5.436e-03 theta_budget=6.733e-08
step=11900 time=2.6296/9h CFL=0.7000 CFLnu=0.0570 divL2=1.671e-04 Q0=-5.472e-03 theta_budget=1.091e-07
step=12000 time=2.6502/9h CFL=0.7000 CFLnu=0.0501 divL2=1.689e-04 Q0=-5.369e-03 theta_budget=1.947e-08
step=12100 time=2.6707/9h CFL=0.7000 CFLnu=0.0592 divL2=1.672e-04 Q0=-5.469e-03 theta_budget=3.618e-08
step=12200 time=2.6912/9h CFL=0.7000 CFLnu=0.0536 divL2=1.685e-04 Q0=-5.590e-03 theta_budget=4.277e-08
step=12300 time=2.7121/9h CFL=0.7000 CFLnu=0.0482 divL2=1.677e-04 Q0=-5.465e-03 theta_budget=7.295e-10
step=12400 time=2.7328/9h CFL=0.7000 CFLnu=0.0626 divL2=1.670e-04 Q0=-5.456e-03 theta_budget=1.118e-07
step=12500 time=2.7532/9h CFL=0.7000 CFLnu=0.0529 divL2=1.691e-04 Q0=-5.499e-03 theta_budget=1.488e-09
step=12600 time=2.7733/9h CFL=0.7000 CFLnu=0.0457 divL2=1.688e-04 Q0=-5.623e-03 theta_budget=3.535e-09
step=12700 time=2.7936/9h CFL=0.7000 CFLnu=0.0449 divL2=1.679e-04 Q0=-5.813e-03 theta_budget=2.820e-08
step=12800 time=2.8136/9h CFL=0.7000 CFLnu=0.0606 divL2=1.677e-04 Q0=-5.847e-03 theta_budget=3.045e-08
step=12900 time=2.8338/9h CFL=0.7000 CFLnu=0.0574 divL2=1.652e-04 Q0=-5.778e-03 theta_budget=7.271e-08
step=13000 time=2.8539/9h CFL=0.7000 CFLnu=0.0423 divL2=1.669e-04 Q0=-5.786e-03 theta_budget=9.579e-08
step=13100 time=2.8742/9h CFL=0.7000 CFLnu=0.0500 divL2=1.671e-04 Q0=-5.849e-03 theta_budget=5.188e-08
