Generating Mann box [4096, 64, 128]; advection=3.3108 m/s, period=115.984 s
Measured mean/TI profiles calibrated; constructing open AD-BEM simulation
step=39700 time=49.625s CFL=0.3411
step=39800 time=49.75s CFL=0.3478
step=39900 time=49.875s CFL=0.3413
step=40000 time=50s CFL=0.3237
step=40100 time=50.125s CFL=0.3323
step=40200 time=50.25s CFL=0.3325
step=40300 time=50.375s CFL=0.3488
step=40320 time=50.4s CFL=0.3457
step=40420 time=50.525s CFL=0.3707
step=40520 time=50.65s CFL=0.3634
step=40620 time=50.775s CFL=0.3785
step=40720 time=50.9s CFL=0.3786
step=40820 time=51.025s CFL=0.3644
step=40920 time=51.15s CFL=0.3527
step=41020 time=51.275s CFL=0.3431
step=41040 time=51.3s CFL=0.3488
step=41140 time=51.425s CFL=0.3537
step=41240 time=51.55s CFL=0.3462
step=41340 time=51.675s CFL=0.351
step=41440 time=51.8s CFL=0.3516
step=41540 time=51.925s CFL=0.349
step=41640 time=52.05s CFL=0.3454
step=41740 time=52.175s CFL=0.3326
step=41760 time=52.2s CFL=0.33
step=41860 time=52.325s CFL=0.345
step=41960 time=52.45s CFL=0.3413
step=42000 time=52.5s CFL=0.3304
step=42100 time=52.625s CFL=0.3455
step=42200 time=52.75s CFL=0.3235
step=42300 time=52.875s CFL=0.3335
step=42400 time=53s CFL=0.3432
step=42480 time=53.1s CFL=0.3398
step=42580 time=53.225s CFL=0.3425
step=42680 time=53.35s CFL=0.3361
step=42780 time=53.475s CFL=0.3561
step=42880 time=53.6s CFL=0.3598
step=42980 time=53.725s CFL=0.3629
step=43080 time=53.85s CFL=0.3506
step=43180 time=53.975s CFL=0.3444
step=43200 time=54s CFL=0.3432
step=43300 time=54.125s CFL=0.3494
step=43400 time=54.25s CFL=0.3491
step=43500 time=54.375s CFL=0.3621
step=43600 time=54.5s CFL=0.3595
step=43700 time=54.625s CFL=0.364
step=43800 time=54.75s CFL=0.3685
step=43900 time=54.875s CFL=0.3641
step=43920 time=54.9s CFL=0.3663
step=44000 time=55s CFL=0.358
step=44100 time=55.125s CFL=0.3666
step=44200 time=55.25s CFL=0.3702
step=44300 time=55.375s CFL=0.3566
step=44400 time=55.5s CFL=0.3516
step=44500 time=55.625s CFL=0.3609
step=44600 time=55.75s CFL=0.357
step=44640 time=55.8s CFL=0.3559
step=44740 time=55.925s CFL=0.3599
step=44840 time=56.05s CFL=0.3922
step=44940 time=56.175s CFL=0.4034
step=45040 time=56.3s CFL=0.3818
step=45140 time=56.425s CFL=0.3671
step=45240 time=56.55s CFL=0.3799
step=45340 time=56.675s CFL=0.3614
step=45360 time=56.7s CFL=0.3626
step=45460 time=56.825s CFL=0.3608
step=45560 time=56.95s CFL=0.3768
step=45660 time=57.075s CFL=0.3558
